title,ytlink,artist,wikipage
Mia,https://www.youtube.com/watch?v=OSUxrSe5GbI,Bad Bunny featuring Drake,https://en.wikipedia.org/wiki/Mia_(Bad_Bunny_song)
Pop Out,https://www.youtube.com/watch?v=g-uW3I_AtDE,Polo G featuring Lil Tjay,https://en.wikipedia.org/wiki/Pop_Out
Beautiful Crazy,,Luke Combs,https://en.wikipedia.org/wiki/Beautiful_Crazy
Thotiana,https://www.youtube.com/watch?v=v_qFfgTYdSo,Blueface,https://en.wikipedia.org/wiki/Thotiana
Lucid Dreams,https://www.youtube.com/watch?v=mzB1VGEGcSU,Juice Wrld,https://en.wikipedia.org/wiki/Lucid_Dreams_(Juice_Wrld_song)
Mo Bamba,https://www.youtube.com/watch?v=VWoIpDVkOH0,Sheck Wes,https://en.wikipedia.org/wiki/Mo_Bamba_(song)
Beautiful People,https://www.youtube.com/watch?v=mj0XInqZMHY,Ed Sheeran featuring Khalid,https://en.wikipedia.org/wiki/Beautiful_People_(Ed_Sheeran_song)
Wake Up in the Sky,https://www.youtube.com/watch?v=U68MJz9DrI4,"Gucci Mane, Bruno Mars and Kodak Black",https://en.wikipedia.org/wiki/Wake_Up_in_the_Sky
Whiskey Glasses,,Morgan Wallen,https://en.wikipedia.org/wiki/Whiskey_Glasses
God's Country,,Blake Shelton,https://en.wikipedia.org/wiki/God%27s_Country_(Blake_Shelton_song)
Be Alright,https://www.youtube.com/watch?v=I0czvJ_jikg,Dean Lewis,https://en.wikipedia.org/wiki/Be_Alright_(Dean_Lewis_song)
Pure Water,https://www.youtube.com/watch?v=9hJ8lLNWrM4,Mustard and Migos,https://en.wikipedia.org/wiki/Pure_Water_(Mustard_and_Migos_song)
The Git Up,,Blanco Brown,https://en.wikipedia.org/wiki/The_Git_Up
Taki Taki,https://www.youtube.com/watch?v=ixkoVwKQaJg,"DJ Snake featuring Selena Gomez, Ozuna and Cardi B",https://en.wikipedia.org/wiki/Taki_Taki_(song)
Close to Me,https://www.youtube.com/watch?v=ajN57m_OSpY,Ellie Goulding and Diplo featuring Swae Lee,"https://en.wikipedia.org/wiki/Close_to_Me_(Ellie_Goulding,_Diplo_and_Swae_Lee_song)"
Envy Me,https://www.youtube.com/watch?v=FhPvceQcfzE,Calboy,https://en.wikipedia.org/wiki/Envy_Me
